layer,share_tokens,share_CAQ,share_CR,n_calls,len_tokens,len_CAQ,len_CR,pertoken_tokens,pertoken_CAQ,pertoken_CR
0,0.013671875,0.11110919797924203,0.875,568,8,65,512,0.001708984375,0.0017093722766037235,0.001708984375
1,0.013305760815110005,0.11267514610794228,0.8739952212068397,568,8,65,512,0.0016632201018887507,0.0017334637862760351,0.0017070219164196088
2,0.013372303314611946,0.111704590664783,0.8748645874815928,568,8,65,512,0.0016715379143264933,0.0017185321640735846,0.001708719897424986
3,0.0134837505683093,0.10964367381283935,0.8769153770006878,568,8,65,512,0.0016854688210386625,0.0016868257509667591,0.0017127253457044683
4,0.013758993274729016,0.11435868118850279,0.8718862628013315,568,8,65,512,0.001719874159341127,0.001759364325976966,0.0017029028570338506
5,0.01353736956354598,0.11196462222388093,0.8745086715674736,568,8,65,512,0.0016921711954432474,0.0017225326495981682,0.0017080247491552218
6,0.014382487031775462,0.11299460790526698,0.8726244424010666,568,8,65,512,0.0017978108789719327,0.0017383785831579536,0.0017043446140645833
7,0.013603885198982668,0.11305559122226608,0.8733126273457433,568,8,65,512,0.0017004856498728336,0.0017393167880348627,0.001705688725284655
8,0.013159556497990246,0.11783083958525054,0.8690118972264546,568,8,65,512,0.0016449445622487807,0.001812782147465393,0.001697288861770419
9,0.014286390702489396,0.11367338203208548,0.8720495386022917,568,8,65,512,0.0017857988378111745,0.0017488212620320842,0.001703221755082601
10,0.013634500159344204,0.10842188888452423,0.8779405961993715,568,8,65,512,0.0017043125199180254,0.0016680290597619113,0.0017147277269518974
11,0.013732568688795601,0.12478507089782769,0.8614690234543572,568,8,65,512,0.0017165710860994501,0.0019197703215050412,0.0016825566864342913
12,0.013733060007363978,0.11370503367252753,0.8725526620384673,568,8,65,512,0.0017166325009204972,0.0017493082103465774,0.0017042044180438814
13,0.013981090465062102,0.11596524206475473,0.8700473348439579,568,8,65,512,0.0017476363081327627,0.0017840806471500726,0.0016993112008671053
14,0.014593716658337015,0.11470486737892661,0.870683911190906,568,8,65,512,0.0018242145822921268,0.0017646902673681018,0.0017005545140447384
15,0.013738208253618697,0.12689340277247027,0.8593679393681002,568,8,65,512,0.0017172760317023372,0.0019522061964995427,0.0016784530065783207
16,0.013880266689918411,0.11089649602351054,0.8752296764246175,568,8,65,512,0.0017350333362398014,0.001706099938823239,0.001709432961766831
17,0.013914777359492342,0.1071287466501686,0.8789593199609032,568,8,65,512,0.0017393471699365427,0.0016481345638487477,0.001716717421798639
18,0.014357160934260194,0.11778792877957014,0.8678608427585011,568,8,65,512,0.0017946451167825243,0.001812121981224156,0.0016950407085126974
19,0.012810545870181645,0.15385885284820072,0.8333313645611347,568,8,65,512,0.0016013182337727056,0.0023670592745877036,0.0016276003214084661
20,0.013284613402940753,0.19346502900753224,0.7932470669628868,568,8,65,512,0.001660576675367594,0.002976385061654342,0.0015493106776618883
21,0.05323625287749398,0.17273367790531524,0.7740304960121571,568,8,65,512,0.006654531609686747,0.0026574411985433115,0.0015117783125237444
22,0.02165835999398374,0.11346899076614161,0.8648726303182858,568,8,65,512,0.0027072949992479676,0.0017456767810175634,0.0016892043560904019
23,0.018061025924062436,0.26509024929517594,0.7168538317504064,568,8,65,512,0.0022576282405078044,0.004078311527618091,0.0014001051401375125
