layer,tanh_g_h0,tanh_g_h1,tanh_g_h2,tanh_g_h3,tanh_g_h4,tanh_g_h5,tanh_g_h6,tanh_g_h7,spread
0,0.0010833735995859305,0.0011520380645598908,0.001167296833101639,-0.0011596674488982663,0.0011520380645598908,-0.0011596674488982663,-0.0011520380645598908,0.0011978143685473371,0.002357481817445603
1,-0.001167296833101639,0.0011520380645598908,0.001167296833101639,0.001136779295481684,-0.0010528560562798664,-0.0011596674488982663,-0.0012283319017619356,-0.0010986323704857883,0.002395628734863575
2,-0.001167296833101639,0.0011596674488982663,-0.00046730038102431846,0.0011520380645598908,-0.0011596674488982663,-0.0010528560562798664,-0.001167296833101639,0.0011291499107436288,0.002326964281999905
3,0.0011978143685473371,0.00019550323237247136,0.0011596674488982663,-0.001136779295481684,-0.001380919532378921,-0.001182555601099823,-0.0011901849848928578,-0.0005340575664133061,0.0025787339009262582
4,0.001167296833101639,0.0010681148281815882,0.0011138911408740562,0.001167296833101639,0.0012283319017619356,0.0011596674488982663,0.0010528560562798664,0.001258849432688591,0.00020599337640872452
5,0.001106261755744315,-0.0012130731354370768,0.0011215205258741235,-0.0012741081972761764,-0.0015716539793900585,-0.0007667540001293569,0.0010528560562798664,0.000984191576757566,0.002693174505264182
6,-0.0011901849848928578,0.0011215205258741235,-0.0012741081972761764,0.0012512200501745303,0.0012207025186705602,0.001136779295481684,-0.0013656607720936617,-0.0012359612847103144,0.002616880822268192
7,0.0010986323704857883,0.0007705686951411006,-0.0012359612847103144,0.001594542105620457,0.0016632064741917828,0.0012435906675148088,-0.0010070797376614809,-0.0014266958093480404,0.003089902283539823
8,-0.0012359612847103144,0.0010833735995859305,-0.0011596674488982663,-0.0004234313711781197,0.0011901849848928578,-0.0011596674488982663,0.0011596674488982663,-0.0011749262171691205,0.002426146269603172
9,0.001167296833101639,-0.0009193417820095442,-0.0012130731354370768,-0.0011520380645598908,-0.00010347366296078755,-0.0011596674488982663,-0.0003089904686819915,0.0010375972838878712,0.0023803699685387156
10,-0.0010147091243961578,-0.0011520380645598908,-0.001556395227653492,0.0012283319017619356,-0.000984191576757566,0.0012283319017619356,0.0015869127303947688,0.0014724720803379588,0.0031433079580482606
11,-0.001495360213530766,-0.0004539489434276722,-0.0006866453998988424,0.001167296833101639,0.0010604854422924558,0.001167296833101639,0.0008888242288309458,0.0011901849848928578,0.002685545198423624
12,0.0015716539793900585,0.0013580313917121126,0.0011596674488982663,0.0014801014582414966,0.0005569457431951731,0.0006217955741619702,-0.0013275138686138445,0.0009346005579602438,0.002899167848003903
13,0.0011596674488982663,0.0008659360628574255,-0.0012817375793479251,-0.001731870827079712,-0.001594542105620457,0.0005226134778110418,-0.001556395227653492,0.0012283319017619356,0.0029602027288416475
14,0.00024414062014936172,0.0011138911408740562,-0.0016632064741917828,-0.0007705686951411006,0.0009765621895592603,0.0010604854422924558,0.0007019041816060432,-0.0011520380645598908,0.002777097615065839
15,0.001045226670144709,0.001106261755744315,-9.202957127339008e-05,-0.0013580313917121126,0.0006179808783621907,-0.0009918209638412965,0.0010528560562798664,-0.0007400511344285358,0.0024642931474564275
16,-0.0016860945935956663,-0.0016403183530452996,0.0008354185068188957,-0.00045776363990057955,-0.0017089827112329692,-0.0005035399965045471,0.0007057188769820507,-0.0014648427022630028,0.0025444012180518647
17,0.0014343251882667633,-0.0018997169529646157,0.0012893669612704603,0.0013275138686138445,0.0016632064741917828,-0.0001907348609682854,0.0007743833901304177,0.0016250596046580425,0.0035629234271563988
18,0.0008049009492242786,0.001258849432688591,0.0016479477269529359,0.0010757442139463758,0.0016098008555140598,0.0004005431914702609,0.0009231564760376311,0.0012741081972761764,0.001247404535482675
19,-0.001205443752062373,-0.0006103514867087862,0.001968381246875982,-0.0006332396614522846,-0.000511169389071887,-0.001335143249622446,-0.0011596674488982663,-0.00152587772201321,0.003494258968889192
20,-0.0022888143625804866,0.001106261755744315,-5.6028366030239524e-05,0.0007476805247381272,-0.0002040863008774564,0.0016021714806605167,0.0007438658295941562,0.000511169389071887,0.0038909858432410035
21,0.0001621246323686131,-0.0016021714806605167,0.00753769903576047,-0.0008811948402753943,-0.00016975402668974415,-0.0017395001986265787,0.00048065181845436186,-0.00297545508624265,0.01051315412200312
22,-0.024287215073063747,0.016722073898945217,-0.0030822656296902104,-0.010375604216245693,0.025263178071173602,-0.023555212340558726,0.02623909291437935,-0.0008811948402753943,0.05052630798744309
23,-0.0007591246100390343,0.018430529907375096,0.0009384152518801953,0.0005302428702279464,9.298324558163526e-05,0.0014266958093480404,0.013487951510835197,-0.01916269297573198,0.037593222883107076
