layer,tanh_g
0,0.0011520380645598908
1,-0.001205443752062373
2,-0.0011978143685473371
3,0.0012207025186705602
4,0.0012207025186705602
5,0.0012817375793479251
6,-0.0013504020111724682
7,-0.0010681148281815882
8,0.0011901849848928578
9,-0.0013885489122808549
10,-0.0011978143685473371
11,0.0009346005579602438
12,0.0009765621895592603
13,0.0010986323704857883
14,-0.0015182483451568313
15,0.0013046257246643366
16,0.00035476683081953135
17,0.0014572133240175172
18,0.0007476805247381272
19,-0.0014114370510132158
20,0.0010604854422924558
21,-0.0019836399763584443
22,-0.005889824470640371
23,0.016111886855674665
